,0
"#Available_Scooters_(20,_8)",18.0
"#Available_Scooters_(20,_9)",18.0
"#Available_Scooters_(21,_0)",9.0
"#Available_Scooters_(21,_1)",9.0
"#Available_Scooters_(21,_10)",15.0
"#Available_Scooters_(21,_11)",15.0
"#Available_Scooters_(21,_12)",15.0
"#Available_Scooters_(21,_13)",15.0
"#Available_Scooters_(21,_14)",13.0
"#Available_Scooters_(21,_15)",14.0
"#Available_Scooters_(21,_16)",14.0
"#Available_Scooters_(21,_17)",14.0
"#Available_Scooters_(21,_18)",14.0
"#Available_Scooters_(21,_19)",14.0
"#Available_Scooters_(21,_2)",14.0
"#Available_Scooters_(21,_3)",15.0
"#Available_Scooters_(21,_4)",16.0
"#Available_Scooters_(21,_5)",16.0
"#Available_Scooters_(21,_6)",16.0
"#Available_Scooters_(21,_7)",16.0
"#Available_Scooters_(21,_8)",16.0
"#Available_Scooters_(21,_9)",16.0
"#Available_Scooters_(22,_0)",19.0
"#Available_Scooters_(22,_1)",13.0
"#Available_Scooters_(22,_10)",16.0
"#Available_Scooters_(22,_11)",21.0
"#Available_Scooters_(22,_12)",20.0
"#Available_Scooters_(22,_13)",20.0
"#Available_Scooters_(22,_14)",17.0
"#Available_Scooters_(22,_15)",18.0
"#Available_Scooters_(22,_16)",18.0
"#Available_Scooters_(22,_17)",19.0
"#Available_Scooters_(22,_18)",19.0
"#Available_Scooters_(22,_19)",19.0
"#Available_Scooters_(22,_2)",15.0
"#Available_Scooters_(22,_3)",21.0
"#Available_Scooters_(22,_4)",17.0
"#Available_Scooters_(22,_5)",15.0
"#Available_Scooters_(22,_6)",14.0
"#Available_Scooters_(22,_7)",13.0
"#Available_Scooters_(22,_8)",12.0
"#Available_Scooters_(22,_9)",11.0
"#Available_Scooters_(23,_0)",13.0
"#Available_Scooters_(23,_1)",12.0
"#Available_Scooters_(23,_10)",3.0
"#Available_Scooters_(23,_11)",5.0
"#Available_Scooters_(23,_12)",8.0
"#Available_Scooters_(23,_13)",9.0
"#Available_Scooters_(23,_14)",13.0
"#Available_Scooters_(23,_15)",13.0
"#Available_Scooters_(23,_16)",13.0
"#Available_Scooters_(23,_17)",13.0
"#Available_Scooters_(23,_18)",13.0
"#Available_Scooters_(23,_19)",13.0
"#Available_Scooters_(23,_2)",9.0
"#Available_Scooters_(23,_3)",8.0
"#Available_Scooters_(23,_4)",2.0
"#Available_Scooters_(23,_5)",2.0
"#Available_Scooters_(23,_6)",2.0
"#Available_Scooters_(23,_7)",2.0
"#Available_Scooters_(23,_8)",2.0
"#Available_Scooters_(23,_9)",2.0
"#Available_Scooters_(24,_0)",25.0
"#Available_Scooters_(24,_1)",25.0
"#Available_Scooters_(24,_10)",0.0
"#Available_Scooters_(24,_11)",6.0
"#Available_Scooters_(24,_12)",11.0
"#Available_Scooters_(24,_13)",20.0
"#Available_Scooters_(24,_14)",25.0
"#Available_Scooters_(24,_15)",25.0
"#Available_Scooters_(24,_16)",25.0
"#Available_Scooters_(24,_17)",25.0
"#Available_Scooters_(24,_18)",25.0
"#Available_Scooters_(24,_19)",25.0
"#Available_Scooters_(24,_2)",17.0
"#Available_Scooters_(24,_3)",6.0
"#Available_Scooters_(24,_4)",0.0
"#Available_Scooters_(24,_5)",0.0
"#Available_Scooters_(24,_6)",0.0
"#Available_Scooters_(24,_7)",0.0
"#Available_Scooters_(24,_8)",0.0
"#Available_Scooters_(24,_9)",0.0
"#Available_Scooters_(25,_0)",37.0
"#Available_Scooters_(25,_1)",33.0
"#Available_Scooters_(25,_10)",4.0
"#Available_Scooters_(25,_11)",10.0
"#Available_Scooters_(25,_12)",16.0
"#Available_Scooters_(25,_13)",28.0
"#Available_Scooters_(25,_14)",35.0
"#Available_Scooters_(25,_15)",37.0
"#Available_Scooters_(25,_16)",37.0
"#Available_Scooters_(25,_17)",37.0
"#Available_Scooters_(25,_18)",37.0
"#Available_Scooters_(25,_19)",37.0
"#Available_Scooters_(25,_2)",25.0
"#Available_Scooters_(25,_3)",9.0
"#Available_Scooters_(25,_4)",2.0
"#Available_Scooters_(25,_5)",0.0
"#Available_Scooters_(25,_6)",0.0
"#Available_Scooters_(25,_7)",0.0
"#Available_Scooters_(25,_8)",0.0
"#Available_Scooters_(25,_9)",0.0
"#Available_Scooters_(26,_0)",10.0
"#Available_Scooters_(26,_1)",6.0
"#Available_Scooters_(26,_10)",6.0
"#Available_Scooters_(26,_11)",7.0
"#Available_Scooters_(26,_12)",9.0
"#Available_Scooters_(26,_13)",8.0
"#Available_Scooters_(26,_14)",8.0
"#Available_Scooters_(26,_15)",8.0
"#Available_Scooters_(26,_16)",10.0
"#Available_Scooters_(26,_17)",10.0
"#Available_Scooters_(26,_18)",10.0
"#Available_Scooters_(26,_19)",10.0
"#Available_Scooters_(26,_2)",4.0
"#Available_Scooters_(26,_3)",9.0
"#Available_Scooters_(26,_4)",4.0
"#Available_Scooters_(26,_5)",1.0
"#Available_Scooters_(26,_6)",0.0
"#Available_Scooters_(26,_7)",0.0
"#Available_Scooters_(26,_8)",0.0
"#Available_Scooters_(26,_9)",0.0
"#Available_Scooters_(27,_0)",24.0
"#Available_Scooters_(27,_1)",20.0
"#Available_Scooters_(27,_10)",5.0
"#Available_Scooters_(27,_11)",5.0
"#Available_Scooters_(27,_12)",5.0
"#Available_Scooters_(27,_13)",15.0
"#Available_Scooters_(27,_14)",17.0
"#Available_Scooters_(27,_15)",22.0
"#Available_Scooters_(27,_16)",24.0
"#Available_Scooters_(27,_17)",24.0
