Location,Abbeyhill,Balgreen and Roseburn,"Blackford, West Mains and Mayfield Road",Bonnington,Boswall and Pilton,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Comely Bank,"Craigleith, Orchard Brae and Crewe Toll",Dalry and Fountainbridge,Deans Village,Drylaw,Easter Road and Hawkhill Avenue,Gorgie East,Gorgie West,Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Hillside and Calton Hill,"Inverleith, Goldenacre and Warriston",Leith (Albert Street),Leith (Hermitage and Prospect Bank),Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Morningside,Morningside and Craighouse,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,North Leith and Newhaven,"Old Town, Princes Street and Leith Street",Pilrig,Polwarth,Prestonfield,Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Slateford and Chesser,South Leith,Stockbridge,The Grange,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Leith (Albert Street),0.9420000000000001,5.114,3.912,1.2209999999999999,3.2969999999999997,1.083,0.62,3.464,1.7590000000000001,1.42,2.78,3.508,3.42,3.2060000000000004,4.497,0.488,4.044,4.827,3.9410000000000003,3.6210000000000004,4.8660000000000005,1.072,0.41100000000000003,2.112,0.0,1.186,2.825,3.1439999999999997,0.997,2.443,4.007,4.357,5.077,4.399,0.935,1.8330000000000002,2.713,1.788,1.6440000000000001,0.512,3.96,3.4219999999999997,1.9340000000000002,1.33,4.652,5.575,0.64,2.189,3.4210000000000003,1.485,2.673,2.529,1.911,4.315,1.8840000000000001,2.314
Leith (Hermitage and Prospect Bank),1.483,6.3,4.574,1.808,4.1739999999999995,2.1430000000000002,1.7209999999999999,4.566,2.638,2.58,3.938,4.62,4.583,4.3919999999999995,5.559,0.843,5.2139999999999995,5.999,4.762,4.4,5.782,1.1,1.45,3.048,1.186,0.0,3.7430000000000003,4.151,1.094,3.3560000000000003,5.084,5.341,6.111000000000001,5.5760000000000005,2.121,3.016,3.389,2.004,2.73,1.2570000000000001,5.109,3.852,1.22,0.5720000000000001,5.7989999999999995,6.735,0.6659999999999999,3.346,4.229,1.015,3.8,3.259,2.396,5.287999999999999,1.774,2.068
Marchmont East and Sciennes,2.275,3.8369999999999997,1.45,3.716,4.534,2.9330000000000003,2.825,1.319,1.105,2.513,2.8489999999999998,3.6710000000000003,1.868,2.319,4.697,2.929,2.411,3.054,5.178,5.0360000000000005,5.632000000000001,3.8810000000000002,2.423,3.6239999999999997,2.825,3.7430000000000003,0.0,0.574,2.728,0.389,1.5919999999999999,1.614,2.431,3.6,2.296,2.202,0.902,4.4030000000000005,1.315,3.237,2.0709999999999997,1.7819999999999998,3.6,3.477,2.616,3.57,3.43,2.6489999999999996,0.7240000000000001,4.309,1.175,4.3469999999999995,4.272,4.9719999999999995,4.6419999999999995,2.997
Marchmont West,2.719,3.303,1.744,3.897,4.397,3.06,3.0380000000000003,0.764,1.5430000000000001,2.5660000000000003,2.613,3.3760000000000003,1.386,1.936,4.356,3.3169999999999997,1.874,2.489,5.013,4.912,5.361000000000001,4.163,2.761,3.6039999999999996,3.1439999999999997,4.151,0.574,0.0,3.187,0.87,1.0290000000000001,1.215,1.9609999999999999,3.137,2.476,2.1630000000000003,1.4680000000000002,4.588,1.52,3.503,1.514,2.289,4.113,3.9360000000000004,2.042,2.997,3.772,2.531,0.995,4.624,0.903,4.34,4.391,4.703,4.879,3.556
Meadowbank and Abbeyhill North,0.475,5.705,3.4819999999999998,2.1719999999999997,4.281000000000001,2.045,1.588,3.695,1.6440000000000001,2.252,3.5580000000000003,4.354,3.8369999999999997,3.7889999999999997,5.385,0.581,4.484,5.261,4.931,4.615,5.832000000000001,1.768,0.8909999999999999,3.093,0.997,1.094,2.728,3.187,0.0,2.3480000000000003,4.17,4.342,5.142,5.084,1.685,2.543,2.302,2.641,1.9169999999999998,1.4469999999999998,4.314,2.775,1.081,0.75,4.99,5.952000000000001,1.1340000000000001,2.992,3.161,1.956,2.991,3.525,2.86,5.261,2.593,1.3219999999999998
Meadows and Southside,1.891,3.978,1.68,3.366,4.328,2.6069999999999998,2.469,1.536,0.7170000000000001,2.227,2.728,3.5780000000000003,1.9769999999999999,2.323,4.63,2.54,2.571,3.264,4.985,4.8180000000000005,5.505,3.503,2.0380000000000003,3.361,2.443,3.3560000000000003,0.389,0.87,2.3480000000000003,0.0,1.896,1.994,2.798,3.654,1.9569999999999999,1.974,0.813,4.0489999999999995,0.993,2.864,2.27,1.7819999999999998,3.2460000000000004,3.0980000000000003,2.866,3.833,3.0439999999999996,2.456,1.025,3.925,1.171,4.071000000000001,3.94,4.848,4.273,2.698
Merchiston and Greenhill,3.697,2.562,2.373,4.584,4.582,3.7119999999999997,3.792,0.5770000000000001,2.54,3.154,2.7310000000000003,3.305,1.123,1.825,4.131,4.242,1.2329999999999999,1.6119999999999999,5.125,5.103,5.254,4.965,3.654,4.02,4.007,5.084,1.5919999999999999,1.0290000000000001,4.17,1.896,0.0,0.8029999999999999,1.123,2.654,3.222,2.6630000000000003,2.4530000000000003,5.263,2.367,4.303,0.8190000000000001,3.16,5.127000000000001,4.914,1.091,2.001,4.647,2.87,1.754,5.457000000000001,1.381,4.746,4.9830000000000005,4.621,5.6129999999999995,4.584
Morningside,3.885,3.278,1.8359999999999999,5.0889999999999995,5.322,4.237,4.244,1.251,2.707,3.713,3.4730000000000003,4.092,1.903,2.6010000000000004,4.933,4.513999999999999,2.022,2.275,5.886,5.843999999999999,6.051,5.377000000000001,3.971,4.6739999999999995,4.357,5.341,1.614,1.215,4.342,1.994,0.8029999999999999,0.0,0.853,3.447,3.677,3.262,2.295,5.779,2.734,4.717,1.6130000000000002,2.782,5.2,5.091,1.714,2.459,4.9830000000000005,3.543,1.419,5.8389999999999995,1.9380000000000002,5.409,5.5520000000000005,5.414,6.085,4.521
Morningside and Craighouse,4.677,2.971,2.6180000000000003,5.702999999999999,5.622000000000001,4.832,4.898,1.7,3.498,4.277,3.785,4.262,2.162,2.844,4.9639999999999995,5.274,2.011,1.9480000000000002,6.127999999999999,6.14,6.138,6.062,4.707,5.127999999999999,5.077,6.111000000000001,2.431,1.9609999999999999,5.142,2.798,1.123,0.853,0.0,3.361,4.327,3.786,3.148,6.3839999999999995,3.4339999999999997,5.398,1.681,3.609,6.03,5.892,1.42,1.865,5.712999999999999,3.975,2.27,6.544,2.498,5.848,6.105,5.534,6.727,5.371
Murrayfield and Ravelston,4.667,0.9129999999999999,4.859,4.236000000000001,2.862,3.505,3.8689999999999998,2.432,3.9010000000000002,3.0,1.6669999999999998,1.371,1.7519999999999998,1.361,1.65,4.836,1.425,1.524,3.1439999999999997,3.301,2.855,4.928999999999999,4.246,3.05,4.399,5.5760000000000005,3.6,3.137,5.084,3.654,2.654,3.447,3.361,0.0,3.4739999999999998,2.573,4.455,4.74,3.295,4.393,1.8359999999999999,5.382000000000001,6.165,5.684,1.954,2.176,4.945,2.248,4.128,5.456,2.484,3.549,4.256,2.324,5.231,6.037000000000001
