Location,Abbeyhill,Baberton and Juniper Green,Balerno and Bonnington Village,Balgreen and Roseburn,"Barnton, Cammo and Cramond South","Bingham, Magdalene and The Christians","Blackford, West Mains and Mayfield Road",Blackhall,Bonaly and The Pentlands,Bonnington,Boswall and Pilton,Broomhouse and Bankhead,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Carrick Knowe,Clermiston and Drumbrae,Clovenstone and Wester Hailes,Colinton and Kingsknowe,Colinton Mains and Firrhill,Comely Bank,Comiston and Swanston,Corstorphine,Corstorphine North,Corstorphine South,Craigentinny,"Craigleith, Orchard Brae and Crewe Toll",Craiglockhart,Craigmillar,Cramond,Currie East,Currie West,"Dalmeny, Kirkliston and Newbridge",Dalry and Fountainbridge,Deans Village,Drylaw,Duddingston and Portobello South,East Craigs North,East Craigs South,Easter Road and Hawkhill Avenue,Fairmilehead,Fernieside and Moredun South,Gilmerton South and the Murrays,Gorgie East,Gorgie West,"Gracemount, Southhouse and Burdiehouse",Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Greenbank and The Braids,Hillside and Calton Hill,Hyvots and Gilmerton,"Inverleith, Goldenacre and Warriston","Jewel, Brunstane and Newcraighall",Joppa,Leith (Albert Street),Leith (Hermitage and Prospect Bank),Liberton East,Liberton West and Braid Hills,Longstone and Saughton,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Moredun and Craigour,Morningside,Morningside and Craighouse,Mortonhall and Anwickhill,Mountcastle,Muirhouse,Murrayburn and Wester Hailes North,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,Niddrie,North Leith and Newhaven,Northfield and Piershill,"Old Town, Princes Street and Leith Street",Oxgangs,Parkhead and Sighthill,Pilrig,Polwarth,Portobello,Prestonfield,Queensferry East,Queensferry West,"Ratho, Ingliston and Gogar",Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Silverknowes and Davidson's Mains,Slateford and Chesser,South Gyle,South Leith,Stenhouse and Saughton Mains,Stockbridge,The Calders,The Grange,The Inch,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Duddingston and Portobello South,2.967,10.974,15.235,7.831,11.573,0.828,3.776,8.625,9.829,4.885,7.024,9.819,4.784,4.335,5.4,3.499,4.901,9.252,10.363,10.231,8.741,7.71,6.079,7.434,9.788,10.083,10.001,1.532,6.931,7.647,1.779,11.489,12.309,13.345,17.302,5.829,6.038,7.997,,11.265,11.135,3.301,6.597,3.758,4.998,6.442,7.136,5.261,7.68,7.368,8.55,4.328,6.758,3.593,4.619,5.836,1.581,1.656,3.749,3.278,4.112,4.258,8.927,4.096,4.669,2.753,3.875,5.668,3.603,5.439,6.286,5.475,0.903,8.928,10.008,7.399,4.328,5.064,3.215,1.388,5.246,1.271,4.121,7.583,9.974,4.173,6.143,1.123,2.719,17.175,18.521,15.138,2.061,2.723,6.712,9.423,7.663,10.984,3.729,8.666,5.57,10.93,4.021,3.459,4.284,4.971,6.275,5.555,7.956,5.052,1.458
East Craigs North,8.468,5.312,8.33,3.633,0.949,12.038,8.549,2.805,6.283,7.561,5.386,3.376,7.033,7.465,6.155,7.769,6.641,2.808,0.948,4.938,6.038,6.769,5.298,7.805,1.943,1.254,2.545,10.69,4.556,5.36,10.463,2.017,6.076,6.534,6.04,5.551,5.231,3.684,11.265,,0.842,8.527,8.575,11.692,11.805,5.044,4.604,10.78,5.133,5.505,4.063,8.335,6.704,7.979,11.519,6.235,12.648,12.875,8.056,9.176,10.789,9.718,4.269,7.418,6.909,8.854,7.508,6.191,11.162,6.878,6.439,10.064,10.726,3.216,4.328,3.871,7.182,6.311,8.297,11.607,7.863,10.195,7.149,7.273,3.84,7.927,5.437,11.798,9.194,6.381,7.674,4.632,9.925,9.382,5.164,2.545,4.596,1.948,8.514,3.602,5.876,4.053,7.865,9.973,8.822,6.345,6.386,7.317,4.201,8.38,9.885
East Craigs South,8.433,4.474,7.556,3.339,1.79,11.885,8.21,3.014,5.491,7.736,5.697,2.617,7.132,7.542,5.877,7.64,6.691,2.229,1.333,4.125,5.315,6.117,5.33,7.159,1.429,1.115,1.813,10.67,4.676,4.774,10.214,2.851,5.238,5.722,6.225,5.331,5.112,3.944,11.135,0.842,,8.565,7.983,11.298,11.332,4.768,4.226,10.276,5.535,5.884,4.53,8.492,6.145,7.991,11.065,6.426,12.461,12.768,8.11,9.262,10.363,9.288,3.581,7.176,6.64,8.844,7.308,5.837,10.772,6.47,5.953,9.544,10.653,3.669,3.53,3.768,7.205,6.311,8.072,11.378,8.101,10.122,7.056,6.622,3.051,8.033,5.134,11.739,8.927,6.938,8.193,4.298,9.924,9.419,4.77,3.033,4.088,1.107,8.611,3.028,5.921,3.213,7.56,9.601,8.997,6.168,6.666,7.563,4.557,8.618,9.797
Easter Road and Hawkhill Avenue,0.743,9.559,13.959,5.522,8.676,4.124,3.865,5.747,8.819,1.597,3.775,7.872,1.571,1.108,3.723,1.825,1.886,7.047,7.585,8.761,7.704,6.985,3.239,7.173,7.37,7.457,7.81,2.235,3.985,6.275,3.696,8.432,10.945,11.94,14.527,3.756,3.604,4.982,3.301,8.527,8.565,,6.75,5.992,6.967,4.392,5.177,6.681,4.412,4.084,5.35,1.209,5.968,0.619,6.545,2.593,4.881,4.646,0.488,0.843,5.773,5.254,7.23,2.929,3.317,0.581,2.54,4.242,5.592,4.514,5.274,6.499,2.491,5.833,8.359,4.836,1.363,2.263,2.662,4.323,2.064,2.031,1.888,7.08,8.175,0.874,4.274,3.43,3.255,14.096,15.437,12.791,1.446,0.855,4.963,6.397,5.905,8.666,0.591,6.668,2.652,9.159,3.455,4.721,1.472,2.961,2.976,2.281,4.802,2.044,1.892
Fairmilehead,6.038,5.425,9.123,5.306,9.345,6.911,3.022,7.236,3.895,7.576,7.901,5.553,6.753,6.696,3.835,4.945,6.26,5.774,8.037,4.922,3.125,1.993,6.05,1.088,6.633,7.386,6.218,7.346,6.612,3.215,4.854,9.92,6.503,7.497,13.847,4.445,5.146,7.354,6.597,8.575,7.983,6.75,,4.295,3.746,4.394,4.305,2.598,8.448,8.423,8.521,7.76,1.896,6.291,3.637,7.257,7.042,8.012,6.698,7.518,3.267,2.479,4.472,3.882,3.695,6.439,4.258,3.323,3.907,2.59,2.393,1.837,6.825,8.237,5.084,5.754,6.149,5.833,4.141,5.837,8.266,6.503,5.17,1.545,5.353,7.119,4.037,7.689,4.007,14.919,16.172,10.753,7.07,7.152,3.805,8.274,4.02,7.221,7.285,4.975,6.132,6.005,3.295,3.254,8.174,4.514,7.994,8.086,7.907,8.523,6.176
Fernieside and Moredun South,5.316,9.626,13.413,8.066,12.266,3.578,3.197,9.562,8.159,7.463,8.96,9.262,6.959,6.636,5.624,4.909,6.756,9.109,10.938,9.034,7.268,6.096,7.399,5.369,9.869,10.437,9.739,5.155,8.234,6.785,2.341,12.527,10.775,11.781,17.467,6.31,6.862,9.262,3.758,11.692,11.298,5.992,4.295,,1.267,6.695,7.091,1.945,9.629,9.429,10.18,7.2,5.473,5.907,0.954,7.898,3.326,4.537,6.255,6.399,1.039,2.058,8.193,4.566,4.936,5.438,4.676,5.505,0.532,4.828,5.413,2.543,4.476,10.255,9.056,8.055,6.313,6.615,3.917,2.433,8.035,4.497,5.546,5.749,9.211,6.767,6.286,4.812,2.961,18.023,19.342,14.683,5.368,5.846,6.536,10.554,7.251,10.788,6.57,8.35,7.119,10.015,3.941,1.737,7.372,5.738,8.547,8.143,9.522,8.03,4.364
Gilmerton South and the Murrays,6.256,9.171,12.711,8.238,12.456,4.845,3.658,9.903,7.629,8.354,9.626,9.108,7.764,7.489,5.962,5.667,7.488,9.108,11.119,8.654,6.858,5.698,7.947,4.829,9.916,10.56,9.673,6.348,8.738,6.641,3.46,12.824,10.221,11.195,17.402,6.672,7.292,9.715,4.998,11.805,11.332,6.967,3.746,1.267,,6.955,7.223,1.148,10.279,10.117,10.719,8.174,5.267,6.801,0.423,8.635,4.576,5.797,7.176,7.455,1.231,2.163,8.019,5.107,5.364,6.44,5.299,5.724,1.434,4.964,5.38,1.914,5.674,10.697,8.766,8.366,7.103,7.273,4.628,3.696,8.963,5.646,6.247,5.283,8.984,7.686,6.539,6.068,3.765,18.181,19.479,14.441,6.495,6.919,6.661,10.926,7.244,10.713,7.556,8.319,7.747,9.708,4.409,2.315,8.395,6.236,9.321,9.015,10.059,9.01,5.475
Gorgie East,4.02,5.214,9.605,1.429,5.573,7.16,3.518,2.965,4.72,4.287,3.695,3.504,3.431,3.657,1.113,3.016,2.849,2.813,4.249,4.414,3.686,3.421,1.936,4.129,3.373,3.798,3.57,6.204,2.27,2.158,5.447,5.87,6.596,7.571,10.991,0.648,1.005,2.963,6.442,5.044,4.768,4.392,4.394,6.695,6.955,,0.785,6.039,4.154,4.201,4.129,4.833,2.66,3.774,6.626,3.41,7.708,8.094,4.044,5.214,5.851,4.804,2.85,2.411,1.874,4.484,2.571,1.233,6.163,2.022,2.011,5.411,6.063,3.875,3.974,1.425,3.132,2.327,3.31,6.611,4.913,5.543,2.568,3.761,3.783,4.203,0.416,7.158,4.163,11.33,12.654,8.699,5.534,5.179,0.755,4.003,1.545,4.542,4.665,2.302,2.3,4.768,2.821,4.962,5.358,1.517,4.077,4.53,3.523,5.34,5.194
Gorgie West,4.795,4.444,8.829,1.028,5.233,7.831,3.985,2.936,4.043,5.032,4.208,2.735,4.187,4.43,1.738,3.762,3.609,2.135,3.896,3.645,3.066,3.008,2.578,3.852,2.8,3.351,2.869,6.963,2.714,1.573,6.038,5.671,5.823,6.792,10.44,1.426,1.718,3.174,7.136,4.604,4.226,5.177,4.305,7.091,7.223,0.785,,6.236,4.587,4.69,4.379,5.601,2.442,4.558,6.924,4.078,8.347,8.791,4.827,5.999,6.186,5.116,2.071,3.054,2.489,5.261,3.264,1.612,6.563,2.275,1.948,5.554,6.797,3.976,3.191,1.524,3.913,3.091,3.955,7.218,5.641,6.283,3.344,3.416,3,4.977,0.995,7.89,4.743,10.964,12.271,8.009,6.305,5.961,0.563,3.971,0.797,3.878,5.447,1.543,3.013,3.985,3.352,5.381,6.128,2.279,4.708,5.233,3.832,6.081,5.93
"Gracemount, Southhouse and Burdiehouse",5.944,8.023,11.601,7.26,11.462,5.284,3.016,9.004,6.484,7.937,8.966,8,7.266,7.046,5.116,5.175,6.921,8.047,10.127,7.509,5.712,4.556,7.213,3.681,8.871,9.543,8.588,6.442,7.96,5.547,3.54,11.884,9.079,10.059,16.303,5.826,6.481,8.89,5.261,10.78,10.276,6.681,2.598,1.945,1.148,6.039,6.236,,9.599,9.473,9.947,7.861,4.167,6.42,1.093,8.054,5.17,6.324,6.817,7.271,1.157,1.464,6.91,4.44,4.599,6.203,4.695,4.809,1.766,4.02,4.341,0.77,5.798,9.857,7.631,7.463,6.602,6.643,4.138,4.114,8.583,5.664,5.68,4.136,7.86,7.315,5.627,6.377,3.43,17.16,18.448,13.307,6.448,6.774,5.676,10.039,6.194,9.623,7.271,7.252,7.082,8.569,3.718,1.994,8.146,5.498,8.766,8.568,9.292,8.693,5.43
Granton and Royston Mains,4.74,8.481,12.557,4.021,4.912,8.508,6.628,2.62,8.511,2.954,0.676,6.242,2.9,3.346,4.638,4.737,2.912,5.145,4.244,7.752,7.625,7.554,2.42,8.279,4.916,4.509,5.723,6.611,1.888,6.16,7.635,4.337,9.731,10.536,10.71,4.003,3.302,1.735,7.68,5.133,5.535,4.412,8.448,9.629,10.279,4.154,4.587,9.599,,0.396,1.126,3.711,6.809,4.096,9.885,1.847,9.248,9.054,3.941,4.762,9.058,8.175,6.236,5.178,5.013,4.931,4.985,5.125,9.133,5.886,6.128,9.116,6.902,1.923,7.139,3.144,3.434,3.017,5.713,8.528,2.985,6.424,4.084,7.913,6.737,3.578,4.448,7.822,6.673,9.838,11.165,9.759,5.831,5.164,4.877,2.598,5.306,6.14,4.128,5.309,2.532,7.562,5.892,7.996,4.089,4.109,1.513,2.457,1.002,3.472,6.229
