Location,Abbeyhill,Baberton and Juniper Green,Balerno and Bonnington Village,Balgreen and Roseburn,"Barnton, Cammo and Cramond South","Bingham, Magdalene and The Christians","Blackford, West Mains and Mayfield Road",Blackhall,Bonaly and The Pentlands,Bonnington,Boswall and Pilton,Broomhouse and Bankhead,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Carrick Knowe,Clermiston and Drumbrae,Clovenstone and Wester Hailes,Colinton and Kingsknowe,Colinton Mains and Firrhill,Comely Bank,Comiston and Swanston,Corstorphine,Corstorphine North,Corstorphine South,Craigentinny,"Craigleith, Orchard Brae and Crewe Toll",Craiglockhart,Craigmillar,Cramond,Currie East,Currie West,"Dalmeny, Kirkliston and Newbridge",Dalry and Fountainbridge,Deans Village,Drylaw,Duddingston and Portobello South,East Craigs North,East Craigs South,Easter Road and Hawkhill Avenue,Fairmilehead,Fernieside and Moredun South,Gilmerton South and the Murrays,Gorgie East,Gorgie West,"Gracemount, Southhouse and Burdiehouse",Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Greenbank and The Braids,Hillside and Calton Hill,Hyvots and Gilmerton,"Inverleith, Goldenacre and Warriston","Jewel, Brunstane and Newcraighall",Joppa,Leith (Albert Street),Leith (Hermitage and Prospect Bank),Liberton East,Liberton West and Braid Hills,Longstone and Saughton,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Moredun and Craigour,Morningside,Morningside and Craighouse,Mortonhall and Anwickhill,Mountcastle,Muirhouse,Murrayburn and Wester Hailes North,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,Niddrie,North Leith and Newhaven,Northfield and Piershill,"Old Town, Princes Street and Leith Street",Oxgangs,Parkhead and Sighthill,Pilrig,Polwarth,Portobello,Prestonfield,Queensferry East,Queensferry West,"Ratho, Ingliston and Gogar",Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Silverknowes and Davidson's Mains,Slateford and Chesser,South Gyle,South Leith,Stenhouse and Saughton Mains,Stockbridge,The Calders,The Grange,The Inch,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Granton South and Wardieburn,4.448,8.7,12.824,4.199,5.301,8.196,6.481,2.932,8.665,2.592,0.522,6.484,2.606,3.039,4.593,4.523,2.679,5.394,4.605,7.959,7.748,7.619,2.373,8.306,5.212,4.842,5.998,6.265,1.977,6.262,7.389,4.733,9.97,10.795,11.105,3.99,3.297,2.019,7.368,5.505,5.884,4.084,8.423,9.429,10.117,4.201,4.69,9.473,0.396,,1.521,3.338,6.836,3.8,9.718,1.566,8.941,8.716,3.621,4.4,8.891,8.036,6.42,5.036,4.912,4.615,4.818,5.103,8.94,5.844,6.14,9.014,6.575,2.303,7.357,3.301,3.175,2.844,5.521,8.252,2.594,6.106,3.887,7.959,6.969,3.236,4.466,7.477,6.468,10.222,11.547,10.125,5.489,4.817,4.941,2.978,5.433,6.456,3.774,5.509,2.391,7.816,5.756,7.821,3.705,4.011,1.142,2.072,1.328,3.078,5.923
Granton West and Salvesen,5.584,7.847,11.764,3.609,3.792,9.376,7.067,1.827,8.069,3.99,1.61,5.566,3.789,4.251,4.85,5.388,3.665,4.467,3.21,7.164,7.284,7.386,2.783,8.21,4.092,3.567,4.952,7.579,1.987,5.908,8.326,3.221,9.028,9.773,9.584,4.155,3.473,1.206,8.55,4.063,4.53,5.35,8.521,10.18,10.719,4.129,4.379,9.947,1.126,1.521,,4.765,6.759,4.961,10.342,2.76,10.095,9.99,4.866,5.782,9.521,8.572,5.735,5.632,5.361,5.832,5.505,5.254,9.667,6.051,6.138,9.398,7.815,0.861,6.525,2.855,4.229,3.628,6.286,9.294,4.088,7.318,4.707,7.792,6.086,4.558,4.489,8.78,7.264,8.782,10.117,8.695,6.791,6.143,4.776,1.519,5.001,5.234,5.13,4.779,3.104,6.833,6.312,8.492,5.172,4.482,2.59,3.55,0.66,4.583,7.091
Great Junction Street,1.924,10.045,14.427,5.734,8.352,5.126,4.981,5.532,9.469,0.785,3.157,8.173,1.436,1.187,4.403,2.829,1.997,7.244,7.388,9.245,8.377,7.779,3.262,8.083,7.43,7.378,7.987,3.02,3.816,6.886,4.896,7.961,11.423,12.385,14.226,4.249,3.903,4.666,4.328,8.335,8.492,1.209,7.76,7.2,8.174,4.833,5.601,7.861,3.711,3.338,4.765,,6.784,1.483,7.751,2.107,5.898,5.484,1.072,1.1,6.975,6.421,7.669,3.881,4.163,1.768,3.503,4.965,6.801,5.377,6.062,7.645,3.453,5.383,8.779,4.929,1.749,2.51,3.779,5.458,0.919,3.073,2.643,7.933,8.535,0.663,4.814,4.224,4.445,13.541,14.872,12.78,2.294,1.61,5.5,6.008,6.378,8.746,0.635,6.989,2.691,9.505,4.491,5.916,0.531,3.595,2.198,1.301,4.314,0.837,3.011
Greenbank and The Braids,5.348,4.295,8.478,3.422,7.457,7.267,3.001,5.377,3.073,6.437,6.322,3.841,5.567,5.626,2.437,4.17,5.013,3.92,6.145,3.62,1.987,1.023,4.496,1.47,4.768,5.501,4.425,7.118,4.929,1.382,5.218,8.025,5.58,6.617,12.138,2.879,3.547,5.568,6.758,6.704,6.145,5.968,1.896,5.473,5.267,2.66,2.442,4.167,6.809,6.836,6.759,6.784,,5.412,5.052,5.859,7.587,8.344,5.788,6.799,4.455,3.42,2.753,3.079,2.652,5.806,3.458,1.859,4.988,1.465,0.736,3.415,6.733,6.41,3.586,3.934,5.055,4.522,3.715,6.365,7.119,6.304,4.149,1.167,3.744,6.121,2.37,7.742,4.044,13.068,14.336,9.218,6.657,6.556,1.985,6.408,2.127,5.456,6.421,3.119,4.705,4.547,2.804,3.978,7.261,3.232,6.576,6.842,6.172,7.458,5.944
Hillside and Calton Hill,0.65,8.945,13.345,4.913,8.164,4.421,3.503,5.22,8.225,1.558,3.434,7.255,1.196,0.771,3.124,1.349,1.362,6.437,7.043,8.146,7.113,6.424,2.681,6.656,6.776,6.888,7.201,2.719,3.466,5.671,3.691,7.972,10.331,11.324,13.996,3.138,2.993,4.494,3.593,7.979,7.991,0.619,6.291,5.907,6.801,3.774,4.558,6.42,4.096,3.8,4.961,1.483,5.412,,6.381,2.249,5.153,5.047,0.411,1.45,5.584,4.969,6.613,2.423,2.761,0.891,2.038,3.654,5.472,3.971,4.707,6.175,2.863,5.382,7.741,4.246,0.799,1.68,2.306,4.464,2.168,2.358,1.288,6.539,7.556,0.895,3.659,3.875,3.04,13.651,14.995,12.2,1.946,1.441,4.349,5.919,5.288,8.066,1.012,6.05,2.107,8.54,3.011,4.509,1.886,2.35,2.754,2.236,4.381,2.291,2.136
Hyvots and Gilmerton,5.834,9.05,12.689,7.932,12.151,4.503,3.276,9.562,7.532,7.934,9.229,8.89,7.351,7.072,5.614,5.255,7.081,8.847,10.815,8.506,6.716,5.547,7.566,4.725,9.644,10.269,9.431,5.947,8.366,6.413,3.049,12.496,10.138,11.126,17.167,6.321,6.93,9.352,4.619,11.519,11.065,6.545,3.637,0.954,0.423,6.626,6.924,1.093,9.885,9.718,10.342,7.751,5.052,6.381,,8.229,4.278,5.483,6.755,7.034,0.827,1.822,7.804,4.72,4.997,6.018,4.902,5.4,1.028,4.654,5.115,1.806,5.275,10.337,8.589,8.029,6.69,6.875,4.219,3.342,8.542,5.235,5.842,5.154,8.788,7.265,6.21,5.701,3.346,17.888,19.192,14.256,6.08,6.499,6.362,10.58,6.98,10.475,7.133,8.064,7.354,9.538,4.031,1.904,7.973,5.86,8.911,8.597,9.683,8.587,5.059
"Inverleith, Goldenacre and Warriston",2.893,8.434,12.74,3.935,6.247,6.665,5.04,3.438,8.115,1.327,1.188,6.385,1.053,1.505,3.458,2.991,1.148,5.375,5.289,7.65,7.096,6.751,1.501,7.297,5.446,5.316,6.085,4.819,1.78,5.568,5.826,5.894,9.78,10.69,12.121,2.998,2.406,2.559,5.836,6.235,6.426,2.593,7.257,7.898,8.635,3.41,4.078,8.054,1.847,1.566,2.76,2.107,5.859,2.249,8.229,,7.401,7.238,2.112,3.048,7.405,6.599,6.059,3.624,3.604,3.093,3.361,4.02,7.419,4.674,5.128,7.648,5.071,3.299,7.115,3.05,1.611,1.442,4.013,6.688,1.705,4.585,2.389,7.021,6.804,1.804,3.554,6.021,4.939,11.527,12.866,10.723,4.032,3.385,4.16,3.909,4.873,6.759,2.387,5.259,1.154,7.738,4.347,6.325,2.587,2.745,0.737,1.206,2.24,2.212,4.383
"Jewel, Brunstane and Newcraighall",4.516,11.878,16.007,9.127,13.009,0.774,4.613,10.076,10.603,6.466,8.587,10.949,6.348,5.904,6.619,4.902,6.434,10.482,11.767,11.174,9.564,8.458,7.557,8.003,11.081,11.439,11.212,2.981,8.42,8.642,2.381,12.98,13.164,14.199,18.666,7.13,7.422,9.493,1.581,12.648,12.461,4.881,7.042,3.326,4.576,7.708,8.347,5.17,9.248,8.941,10.095,5.898,7.587,5.153,4.278,7.401,,1.248,5.325,4.832,4.042,4.567,9.991,5.302,5.86,4.329,5.154,6.795,3.404,6.421,7.23,5.59,2.447,10.441,11.025,8.779,5.867,6.557,4.4,1.227,6.816,2.852,5.561,8.246,11.047,5.754,7.371,2.017,3.649,18.66,20.005,16.347,3.613,4.288,7.876,10.913,8.79,12.224,5.306,9.842,7.074,11.971,5.056,3.791,5.826,6.306,7.853,7.135,9.491,6.602,3.019
Joppa,4.466,12.592,16.817,9.476,13.15,1.102,5.344,10.196,11.404,6.149,8.42,11.474,6.201,5.739,7.056,5.128,6.398,10.905,11.963,11.857,10.331,9.27,7.64,8.916,11.432,11.706,11.655,2.465,8.474,9.281,3.178,13.013,13.915,14.952,18.914,7.477,7.661,9.526,1.656,12.875,12.768,4.646,8.012,4.537,5.797,8.094,8.791,6.324,9.054,8.716,9.99,5.484,8.344,5.047,5.483,7.238,1.248,,5.126,4.385,5.176,5.573,10.575,5.751,6.324,4.163,5.529,7.32,4.563,7.065,7.905,6.684,2.185,10.429,11.65,9.018,5.824,6.616,4.867,2.226,6.384,2.705,5.726,9.108,11.624,5.48,7.798,1.263,4.304,18.696,20.041,16.791,3.228,3.908,8.367,10.954,9.316,12.635,4.957,10.322,7.106,12.576,5.652,4.773,5.307,6.614,7.589,6.775,9.424,6.089,2.993
Leith (Albert Street),0.942,9.242,13.64,5.114,8.194,4.576,3.912,5.27,8.565,1.221,3.297,7.494,1.083,0.62,3.464,1.759,1.42,6.64,7.113,8.442,7.457,6.796,2.78,7.051,6.935,6.999,7.401,2.723,3.508,5.998,4.004,7.945,10.627,11.612,14.048,3.42,3.206,4.497,3.749,8.056,8.11,0.488,6.698,6.255,7.176,4.044,4.827,6.817,3.941,3.621,4.866,1.072,5.788,0.411,6.755,2.112,5.325,5.126,,1.186,5.964,5.369,6.893,2.825,3.144,0.997,2.443,4.007,5.831,4.357,5.077,6.582,2.962,5.345,8.017,4.399,0.935,1.833,2.713,4.711,1.788,2.486,1.644,6.923,7.814,0.512,3.96,3.916,3.422,13.608,14.95,12.349,1.934,1.33,4.652,5.91,5.575,8.237,0.64,6.293,2.189,8.796,3.421,4.894,1.485,2.673,2.529,1.911,4.315,1.884,2.314
Leith (Hermitage and Prospect Bank),1.483,10.395,14.794,6.3,9.265,4.059,4.574,6.376,9.662,1.808,4.174,8.678,2.143,1.721,4.566,2.638,2.58,7.826,8.23,9.596,8.546,7.818,3.938,7.981,8.11,8.149,8.586,1.922,4.62,7.117,4.06,8.942,11.781,12.773,15.135,4.583,4.392,5.559,3.278,9.176,9.262,0.843,7.518,6.399,7.455,5.214,5.999,7.271,4.762,4.4,5.782,1.1,6.799,1.45,7.034,3.048,4.832,4.385,1.186,,6.298,5.882,8.058,3.743,4.151,1.094,3.356,5.084,6.044,5.341,6.111,7.151,2.387,6.346,9.185,5.576,2.121,3.016,3.389,4.481,2.004,2.058,2.73,7.903,8.992,1.257,5.109,3.125,3.852,14.563,15.899,13.517,1.22,0.572,5.799,6.946,6.735,9.416,0.666,7.475,3.346,9.975,4.229,5.284,1.015,3.8,3.259,2.396,5.288,1.774,2.068
Liberton East,5.053,8.588,12.39,7.183,11.399,4.13,2.455,8.771,7.121,7.133,8.402,8.265,6.534,6.264,4.819,4.436,6.257,8.158,10.065,7.999,6.231,5.058,6.743,4.335,8.937,9.537,8.768,5.337,7.547,5.785,2.421,11.715,9.737,10.744,16.504,5.522,6.12,8.541,4.112,10.789,10.363,5.773,3.267,1.039,1.231,5.851,6.186,1.157,9.058,8.891,9.521,6.975,4.455,5.584,0.827,7.405,4.042,5.176,5.964,6.298,,1.075,7.19,3.895,4.184,5.26,4.074,4.633,0.663,3.912,4.437,1.577,4.681,9.528,8.032,7.243,5.873,6.048,3.397,2.961,7.75,4.583,5.017,4.71,8.198,6.473,5.436,5.225,2.545,17.146,18.456,13.672,5.399,5.777,5.625,9.783,6.292,9.816,6.364,7.387,6.527,8.99,3.211,1.084,7.217,5.04,8.089,7.791,8.861,7.812,4.375
Liberton West and Braid Hills,4.513,7.623,11.547,6.118,10.336,4.477,1.559,7.743,6.205,6.477,7.534,7.205,5.802,5.584,3.8,3.711,5.462,7.083,9.001,7.004,5.261,4.096,5.812,3.481,7.862,8.466,7.696,5.242,6.588,4.727,2.479,10.674,8.816,9.836,15.431,4.509,5.132,7.555,4.258,9.718,9.288,5.254,2.479,2.058,2.163,4.804,5.116,1.464,8.175,8.036,8.572,6.421,3.42,4.969,1.822,6.599,4.567,5.573,5.369,5.882,1.075,,6.135,3,3.212,4.799,3.238,3.578,1.569,2.842,3.366,1.29,4.64,8.535,7.005,6.208,5.138,5.197,2.677,3.372,7.127,4.424,4.22,3.794,7.153,5.863,4.388,5.376,2.033,16.079,17.387,12.625,5.145,5.408,4.555,8.764,5.218,8.745,5.842,6.313,5.649,7.966,2.284,0.805,6.725,4.096,7.307,7.105,7.914,7.25,4.15
Longstone and Saughton,6.808,2.384,6.758,2.222,5.138,9.556,5.409,3.964,2.346,7.084,5.99,1.09,6.249,6.501,3.62,5.718,5.675,1.542,3.95,1.592,1.791,2.546,4.566,3.588,2.379,3.225,1.774,8.92,4.493,1.409,7.617,5.931,3.755,4.721,9.397,3.476,3.772,4.583,8.927,4.269,3.581,7.23,4.472,8.193,8.019,2.85,2.071,6.91,6.236,6.42,5.735,7.669,2.753,6.613,7.804,6.059,9.991,10.575,6.893,8.058,7.19,6.135,,4.853,4.284,7.28,5.135,3.264,7.693,3.576,2.82,6.15,8.691,5.095,1.129,3.128,5.982,5.159,5.713,8.802,7.675,8.195,5.371,3.05,1.057,7.048,2.966,9.771,6.343,10.501,11.731,6.494,8.3,7.996,2.294,4.819,1.329,2.75,7.516,0.959,5.049,2.004,4.943,6.614,8.197,4.291,6.634,7.243,5.331,8.129,7.833
Marchmont East and Sciennes,2.275,7.007,11.363,3.837,7.874,4.777,1.45,5.049,6.055,3.716,4.534,5.724,2.933,2.825,1.319,1.105,2.513,5.185,6.579,6.235,4.933,4.102,2.849,4.244,5.783,6.185,5.924,4.127,3.671,3.646,3.045,8.023,8.376,9.403,13.396,1.868,2.319,4.697,4.096,7.418,7.176,2.929,3.882,4.566,5.107,2.411,3.054,4.44,5.178,5.036,5.632,3.881,3.079,2.423,4.72,3.624,5.302,5.751,2.825,3.743,3.895,3,4.853,,0.574,2.728,0.389,1.592,4.045,1.614,2.431,4.026,3.844,5.691,5.955,3.6,2.296,2.202,0.902,4.202,4.403,3.361,1.315,4.162,5.892,3.237,2.071,4.919,1.782,13.615,14.95,11.063,3.6,3.477,2.616,6.012,3.57,6.926,3.43,4.574,2.649,6.857,0.724,2.861,4.309,1.175,4.347,4.272,4.972,4.642,2.997
