Location,Abbeyhill,Baberton and Juniper Green,Balerno and Bonnington Village,Balgreen and Roseburn,"Barnton, Cammo and Cramond South","Bingham, Magdalene and The Christians","Blackford, West Mains and Mayfield Road",Blackhall,Bonaly and The Pentlands,Bonnington,Boswall and Pilton,Broomhouse and Bankhead,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Carrick Knowe,Clermiston and Drumbrae,Clovenstone and Wester Hailes,Colinton and Kingsknowe,Colinton Mains and Firrhill,Comely Bank,Comiston and Swanston,Corstorphine,Corstorphine North,Corstorphine South,Craigentinny,"Craigleith, Orchard Brae and Crewe Toll",Craiglockhart,Craigmillar,Cramond,Currie East,Currie West,"Dalmeny, Kirkliston and Newbridge",Dalry and Fountainbridge,Deans Village,Drylaw,Duddingston and Portobello South,East Craigs North,East Craigs South,Easter Road and Hawkhill Avenue,Fairmilehead,Fernieside and Moredun South,Gilmerton South and the Murrays,Gorgie East,Gorgie West,"Gracemount, Southhouse and Burdiehouse",Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Greenbank and The Braids,Hillside and Calton Hill,Hyvots and Gilmerton,"Inverleith, Goldenacre and Warriston","Jewel, Brunstane and Newcraighall",Joppa,Leith (Albert Street),Leith (Hermitage and Prospect Bank),Liberton East,Liberton West and Braid Hills,Longstone and Saughton,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Moredun and Craigour,Morningside,Morningside and Craighouse,Mortonhall and Anwickhill,Mountcastle,Muirhouse,Murrayburn and Wester Hailes North,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,Niddrie,North Leith and Newhaven,Northfield and Piershill,"Old Town, Princes Street and Leith Street",Oxgangs,Parkhead and Sighthill,Pilrig,Polwarth,Portobello,Prestonfield,Queensferry East,Queensferry West,"Ratho, Ingliston and Gogar",Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Silverknowes and Davidson's Mains,Slateford and Chesser,South Gyle,South Leith,Stenhouse and Saughton Mains,Stockbridge,The Calders,The Grange,The Inch,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Granton South and Wardieburn,1,0,0,0,0,1,1,0,0,1,3,2,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,2,4,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,0,1,3,1,1,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,2,3,1,0,1,4,0
Granton West and Salvesen,0,0,0,0,0,0,1,1,0,2,3,2,1,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,12,1,2,1,0,1,1,1,8,0,0,0,0,1,0,0,0,1,0,0,1,1,11,2,0,1,0,1,1,0,0,0,0,0,1,1,1,0,2,2,0,1,1,0,0,2,1,1,2,3,1,0,0,0,11,0,0,0,0,2,0,0,0,3,0,0,0,1,1,8,1,1,2,0,1,0,2,5,1,1,2,4,1
Great Junction Street,1,0,1,1,0,0,3,0,0,2,1,3,2,1,1,3,2,0,0,0,0,0,1,0,1,0,0,0,5,1,5,0,0,2,1,1,13,0,1,0,0,1,0,0,0,1,1,1,1,0,3,7,0,4,0,2,1,1,1,0,0,0,1,1,1,1,4,2,0,3,0,0,0,1,1,1,4,5,2,1,2,0,34,0,0,1,0,2,0,0,0,4,0,0,0,0,1,12,4,1,3,2,1,0,9,14,0,1,0,9,1
Greenbank and The Braids,0,0,0,0,0,0,4,1,1,0,1,2,0,0,2,1,2,0,0,0,1,1,0,0,1,0,1,0,3,1,5,0,0,4,0,1,12,0,1,0,0,0,1,1,0,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0,1,0,0,1,1,0,5,5,0,4,1,0,0,0,1,1,1,3,1,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,1,1,1,8,1,0,1,0,1,0,1,18,0,0,0,3,0
Hillside and Calton Hill,1,0,0,0,0,0,3,0,0,2,2,4,2,1,1,6,2,0,0,0,1,0,1,0,1,0,0,1,4,2,6,0,0,3,1,3,15,0,0,0,0,1,1,1,0,1,1,1,0,0,4,3,0,7,0,1,1,1,1,0,1,1,1,1,1,1,9,3,0,2,1,0,0,1,0,0,5,10,3,0,1,0,44,0,0,1,1,1,0,1,0,6,1,0,0,0,1,11,3,2,3,2,2,1,5,18,0,0,1,5,1
Hyvots and Gilmerton,0,0,0,1,0,0,4,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,2,0,7,0,0,0,0,1,4,0,0,0,0,0,1,2,1,0,0,3,0,0,1,1,0,1,2,1,2,1,0,0,5,2,0,1,0,0,2,1,1,4,0,1,0,0,0,1,2,1,3,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6,0,0,1,0,1,1,1,3,0,0,0,1,0
"Inverleith, Goldenacre and Warriston",0,0,0,0,0,0,1,1,0,1,2,3,2,1,1,3,1,0,0,0,0,0,2,0,1,0,0,0,7,1,2,0,0,1,1,2,9,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,2,0,4,0,0,0,0,0,0,0,1,0,0,5,2,0,1,0,0,0,0,0,1,2,4,1,0,1,0,18,0,0,1,0,0,0,0,0,2,0,0,0,1,1,6,1,1,3,0,1,0,2,10,1,1,1,2,0
"Jewel, Brunstane and Newcraighall",0,0,0,1,0,1,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,3,1,6,0,0,0,1,2,5,0,3,0,0,1,0,0,0,1,0,0,1,0,1,2,0,2,0,0,8,2,1,0,1,0,0,1,0,1,3,1,0,1,1,0,1,0,1,0,2,3,2,1,0,1,13,0,0,0,0,4,1,0,0,2,0,0,0,0,1,6,1,1,2,0,1,1,1,6,0,0,0,3,2
Joppa,1,0,0,1,0,1,2,0,0,2,1,2,2,1,0,4,2,0,0,0,0,0,1,0,1,0,0,1,4,1,5,0,0,1,1,2,9,1,4,0,0,1,0,0,0,1,1,1,1,0,2,2,0,3,0,1,3,5,0,0,0,0,0,2,1,1,5,3,0,3,0,0,1,0,0,1,2,3,1,0,1,1,17,0,0,1,0,7,0,0,0,2,0,0,0,1,1,6,2,2,2,0,1,0,2,11,1,1,0,5,3
Leith (Albert Street),1,0,1,0,0,0,1,1,0,2,1,3,2,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,4,1,3,0,0,1,0,1,11,0,0,0,0,1,0,0,0,0,1,0,0,0,2,3,0,3,0,1,1,1,3,0,0,0,0,1,0,1,4,2,0,1,1,0,0,0,1,0,3,3,2,0,1,1,24,0,0,1,0,0,0,0,0,2,0,0,0,0,1,7,3,1,2,0,1,0,4,10,0,1,1,5,0
Leith (Hermitage and Prospect Bank),1,0,0,1,0,0,1,1,0,3,2,3,2,1,1,4,2,0,0,0,0,0,1,0,0,0,0,2,5,1,6,0,0,2,1,1,12,0,1,0,0,2,0,0,0,1,0,0,2,0,3,5,0,3,0,1,1,1,0,4,1,0,0,1,0,2,5,2,0,1,1,0,1,1,0,1,4,5,2,0,2,0,18,0,0,1,0,3,0,0,0,3,1,1,1,1,1,10,8,1,1,0,2,0,7,11,1,1,1,8,2
Liberton East,0,0,0,1,0,0,5,1,0,0,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,2,1,1,9,0,0,0,0,0,0,2,0,1,1,2,0,0,1,1,0,1,0,0,1,1,0,0,3,1,0,2,0,0,4,2,1,2,1,0,0,0,0,1,2,2,3,0,0,0,12,0,0,0,0,1,0,0,0,2,0,0,0,0,1,6,0,1,2,0,1,0,0,10,0,1,0,2,1
Liberton West and Braid Hills,0,0,0,0,0,0,7,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,2,1,4,0,0,1,1,1,6,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,3,2,0,2,0,1,0,0,0,0,1,2,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,1,2,0,2,1,1,5,0,0,0,1,1
Longstone and Saughton,0,1,0,1,0,0,1,0,0,0,1,5,1,0,0,1,1,0,0,1,4,1,1,1,2,0,1,0,2,2,3,0,0,4,2,2,6,0,0,0,0,0,0,0,0,2,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,9,1,0,0,1,2,0,1,1,0,0,0,2,0,1,2,1,0,0,0,10,0,0,0,0,1,0,0,0,4,0,0,1,0,3,17,0,3,2,1,0,0,1,7,0,0,0,2,1
Marchmont East and Sciennes,0,0,0,0,0,0,14,0,0,1,0,2,0,0,1,5,1,0,0,0,1,0,1,0,1,0,0,0,3,2,7,0,0,2,1,1,7,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,2,1,19,3,0,2,1,0,0,0,1,0,2,2,1,0,1,0,35,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,1,0,2,1,3,0,1,13,0,0,0,1,0
Marchmont West,0,0,0,0,0,0,12,0,0,1,1,3,1,0,1,4,1,0,0,0,0,0,1,0,1,0,0,0,3,2,5,0,0,3,0,1,9,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,3,2,0,17,2,0,1,2,0,0,0,0,0,1,4,1,0,1,0,30,0,0,0,1,0,0,0,0,2,0,0,0,0,1,5,1,0,1,0,2,0,1,14,0,0,0,2,0
Meadowbank and Abbeyhill North,1,0,0,1,0,0,4,0,0,2,1,3,2,0,1,6,1,0,0,0,0,0,0,0,2,1,0,1,4,2,6,0,0,1,1,2,14,0,1,0,0,2,0,1,0,1,0,0,0,1,2,2,0,3,0,1,1,1,1,0,0,1,0,2,1,4,7,2,0,1,0,0,1,0,0,1,4,4,2,0,1,1,36,0,0,0,0,1,0,1,0,3,0,1,0,0,1,9,2,1,2,1,2,0,5,14,0,0,0,6,1
Meadows and Southside,0,0,0,0,0,0,15,1,0,1,1,4,1,0,1,5,1,0,0,0,0,0,1,0,1,0,0,0,3,3,8,0,0,3,0,2,10,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,1,1,1,19,4,0,2,2,0,0,0,0,1,2,3,3,0,1,0,36,0,0,0,0,1,0,0,0,2,0,0,0,0,1,5,1,1,1,0,2,0,2,15,0,0,0,3,1
Merchiston and Greenhill,0,0,0,1,0,0,7,0,0,0,1,3,1,1,3,3,1,0,0,0,1,0,0,0,1,0,0,0,4,3,5,0,0,4,1,2,13,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,2,1,0,10,8,0,4,2,0,0,0,0,1,1,6,1,0,1,0,23,0,0,0,0,1,0,0,0,2,0,0,2,0,1,7,1,1,2,1,2,0,2,19,0,1,0,2,0
Moredun and Craigour,0,0,0,0,0,0,4,0,0,1,1,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,9,0,0,1,1,1,2,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,4,1,0,1,0,0,3,2,2,2,1,0,0,0,1,0,1,1,2,0,0,0,7,0,0,0,1,2,1,0,0,1,0,0,0,0,0,3,0,1,1,0,1,1,0,2,0,0,0,0,1
Morningside,0,0,0,0,0,0,9,0,0,1,0,4,1,0,3,4,2,0,0,0,1,1,1,1,1,0,0,0,5,3,7,0,0,4,0,2,17,0,1,0,0,0,0,2,0,0,1,1,1,0,1,1,1,2,0,1,1,0,0,0,1,0,0,3,2,0,10,10,0,6,4,0,0,0,1,1,2,5,1,0,0,0,19,0,0,0,0,0,1,1,0,3,0,0,1,0,1,9,1,2,1,0,2,0,2,20,0,1,0,2,1
Morningside and Craighouse,0,0,0,1,0,0,7,0,0,1,1,4,1,0,2,4,2,0,0,0,0,1,1,0,1,0,0,0,4,2,7,0,0,3,1,2,13,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1,1,1,0,1,0,1,0,0,0,1,0,2,1,0,9,8,0,5,4,0,0,1,1,1,2,5,1,0,1,0,17,0,0,0,0,1,0,0,0,4,0,0,1,0,1,9,0,1,2,1,2,0,3,13,0,0,0,2,1
Mortonhall and Anwickhill,0,0,0,0,0,0,4,0,0,1,2,3,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,1,6,0,0,1,0,1,5,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,2,2,1,1,0,0,3,1,0,2,1,2,0,1,0,0,1,1,3,0,0,0,8,0,0,0,0,0,1,0,0,2,0,0,0,0,1,8,0,1,1,1,1,0,1,6,0,0,0,1,0
Mountcastle,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,4,0,0,1,1,1,5,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,0,1,0,2,1,2,0,0,1,10,0,0,0,0,2,0,0,0,1,0,0,1,0,0,5,1,0,1,0,0,0,2,5,0,0,1,3,3
Muirhouse,0,0,0,1,0,0,0,2,0,2,4,2,1,0,2,2,1,0,1,0,1,0,3,0,1,0,1,0,13,0,2,2,0,1,1,1,9,1,1,0,0,1,0,0,0,1,1,0,3,0,7,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,4,1,1,2,1,1,0,1,0,12,0,0,0,0,2,0,1,0,3,0,0,0,3,1,11,1,1,1,1,0,0,2,8,1,1,2,4,1
Murrayburn and Wester Hailes North,0,1,1,0,0,0,0,1,0,1,1,2,1,0,2,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,2,0,0,1,1,1,4,0,0,0,1,0,1,0,0,2,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,6,0,1,2,1,0,0,0,7,0,1,0,0,1,0,0,0,1,0,0,1,0,4,13,0,2,1,3,1,0,0,2,0,0,0,1,0
Murrayfield and Ravelston,0,0,0,2,0,0,1,3,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,6,1,2,0,0,1,1,2,16,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,3,1,0,1,0,0,0,1,0,3,1,4,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,1,0,7,1,0,1,0,0,0,2,16,1,0,0,1,0
New Town East and Gayfield,0,0,0,0,0,0,2,1,0,1,1,1,1,1,0,3,2,0,0,0,0,0,1,0,1,0,0,0,3,1,4,1,0,2,1,1,10,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,1,3,5,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,0,0,2,1,1,0,2,11,0,0,0,2,0
New Town West,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,3,1,4,1,0,1,0,2,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,0,0,0,1,2,9,1,0,0,0,26,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,1,0,2,0,1,0,2,18,0,0,0,2,0
Newington and Dalkeith Road,0,0,0,0,0,0,12,0,0,1,1,3,1,1,1,6,1,0,0,0,0,0,0,0,1,0,0,0,2,1,7,0,0,1,0,1,8,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,1,0,20,3,0,1,0,0,0,0,0,1,2,2,3,0,1,0,25,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,1,1,1,0,2,1,1,11,0,0,0,1,0
Niddrie,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,0,0,1,1,1,3,0,2,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,7,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,1,1,1,1,5,0,1,13,0,0,1,0,3,3,1,0,1,0,0,0,0,0,4,1,1,1,1,1,1,1,3,0,0,0,2,1
North Leith and Newhaven,1,0,0,1,0,0,1,0,0,3,2,3,2,1,0,4,2,0,0,0,1,0,2,0,1,0,0,1,6,1,4,0,0,1,2,2,13,0,1,0,0,1,0,0,0,1,2,1,1,0,4,5,0,3,0,2,1,0,1,0,0,0,1,1,0,1,4,2,0,1,1,0,0,2,0,1,2,5,2,1,6,0,24,0,0,1,0,2,0,1,0,2,0,0,0,1,0,10,3,1,3,1,1,0,8,10,0,2,1,11,1
Northfield and Piershill,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,2,1,0,0,0,1,0,0,0,1,0,0,1,2,1,5,0,0,1,1,1,7,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,3,2,0,0,0,0,0,1,0,2,3,2,0,1,0,0,2,0,1,1,2,3,1,0,0,2,17,0,0,0,0,4,0,0,0,2,1,0,0,0,0,6,1,1,1,0,1,0,2,7,1,0,0,3,5
"Old Town, Princes Street and Leith Street",1,0,0,1,0,0,5,0,0,1,0,2,1,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,3,1,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,1,0,1,1,1,0,0,1,0,0,0,0,1,13,2,0,1,1,0,0,0,0,1,2,5,1,0,0,0,43,0,0,0,0,1,0,0,0,3,0,0,0,0,1,8,1,0,2,1,1,0,2,11,0,0,0,2,0
Oxgangs,1,0,0,0,0,0,1,0,1,0,0,3,1,0,1,1,0,0,0,0,2,4,0,4,1,0,0,0,2,1,3,0,0,1,0,1,4,0,0,0,0,0,1,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,5,1,0,0,0,1,0,1,1,1,0,1,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,1,0,1,0,1,4,0,0,0,1,1
Parkhead and Sighthill,0,0,0,1,0,0,1,1,1,1,0,8,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1,0,2,1,2,0,0,3,1,2,5,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,3,1,0,0,1,1,0,1,0,0,0,0,3,1,0,1,1,0,0,0,7,0,2,0,0,1,0,0,0,3,0,0,1,1,2,22,0,2,1,2,0,0,0,6,0,0,0,1,0
Pilrig,1,0,0,1,0,0,2,0,0,2,0,2,1,1,1,4,2,0,0,0,0,0,0,0,1,0,0,0,3,1,3,0,0,1,0,1,8,0,1,0,0,1,0,0,0,0,0,1,0,0,3,4,0,3,0,1,1,0,1,0,0,0,0,1,0,0,3,2,0,1,0,0,0,1,0,1,4,6,1,0,1,0,21,0,0,0,0,1,0,0,0,4,0,0,0,0,0,5,2,1,2,1,1,0,3,10,0,1,0,5,0
Polwarth,0,0,1,1,0,0,4,1,0,1,1,6,2,0,3,3,2,0,0,0,0,0,1,0,2,0,0,0,4,4,5,0,0,10,1,5,16,0,0,0,0,0,1,1,0,1,2,0,0,0,1,1,0,2,0,0,1,1,0,0,1,0,1,2,0,1,9,9,0,3,3,0,0,0,1,0,2,5,2,0,1,0,26,0,0,0,2,1,0,1,0,4,0,0,1,0,1,16,1,1,3,1,1,0,2,24,0,0,0,3,0
Portobello,1,0,0,0,0,1,2,1,0,0,1,2,1,1,1,2,1,0,0,0,0,0,1,0,1,0,0,1,2,1,6,0,0,1,0,1,8,1,3,0,0,2,0,1,0,1,0,1,0,0,2,2,0,2,0,1,5,3,1,0,1,0,0,1,0,1,2,2,0,1,0,0,1,0,0,1,3,4,1,0,1,1,15,0,0,0,0,7,0,0,0,2,1,0,0,0,0,6,1,1,2,0,1,0,4,9,0,1,0,4,2
Prestonfield,0,0,0,0,0,0,7,0,0,1,1,2,1,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0,0,0,1,1,5,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,2,1,0,1,1,1,6,1,0,1,0,0,0,0,0,0,1,2,3,0,0,0,11,0,0,0,0,1,3,0,0,1,0,0,0,0,0,3,1,1,1,0,2,0,1,8,0,0,0,2,1
Queensferry East,0,0,0,0,0,0,1,1,0,1,3,2,1,1,0,2,1,0,1,0,1,0,1,0,2,0,1,0,6,1,2,0,0,2,6,1,10,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,2,3,0,0,0,0,10,0,0,0,0,1,0,24,4,9,0,0,0,1,0,16,0,1,2,0,0,0,1,8,0,0,0,2,1
Queensferry West,0,0,0,1,1,0,1,1,0,1,2,4,1,0,0,2,1,0,1,0,0,0,1,0,2,0,0,0,9,1,2,1,0,2,7,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,1,1,1,2,3,1,0,1,0,8,0,0,0,0,1,0,21,4,7,0,0,0,1,1,15,0,1,1,1,1,0,1,8,0,0,0,2,0
"Ratho, Ingliston and Gogar",0,0,1,1,0,0,1,0,0,0,1,4,1,0,0,1,1,0,0,0,1,0,0,0,3,0,1,0,3,1,2,1,1,4,6,1,7,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,1,0,1,2,1,0,0,0,6,0,0,0,0,0,0,0,0,18,0,0,0,0,1,12,0,0,1,0,1,0,1,6,0,0,0,1,1
Restalrig (Loganlea) and Craigentinny West,0,0,0,0,0,0,1,0,0,1,1,2,2,1,0,3,1,0,0,0,1,0,1,0,1,0,0,1,4,0,3,0,0,1,1,2,6,0,1,0,0,1,0,1,0,0,0,0,0,0,3,2,0,2,0,1,2,1,0,0,0,0,1,0,1,2,2,1,0,0,0,0,2,0,1,0,3,2,2,1,1,1,15,0,0,0,0,2,0,0,0,2,2,1,0,0,0,8,3,1,0,1,1,0,4,7,0,1,1,4,2
Restalrig and Lochend,1,0,0,0,0,0,2,0,0,1,1,3,2,1,1,2,1,0,0,0,1,0,1,0,1,0,0,2,3,1,4,0,0,1,1,1,4,0,2,0,0,1,0,0,0,1,1,1,1,0,1,3,0,1,0,1,1,2,0,1,0,0,0,1,0,3,2,1,0,0,0,1,1,0,1,1,3,2,2,0,1,1,18,0,0,0,0,3,1,0,0,1,2,4,0,0,1,7,3,1,2,0,1,0,3,8,1,1,1,6,2
Shandon,0,0,1,1,0,0,5,0,1,1,1,6,1,1,2,5,2,0,1,0,1,1,1,0,2,0,0,0,7,4,6,0,0,14,1,4,16,0,0,0,0,1,0,1,0,1,2,0,1,0,2,1,1,2,0,0,1,1,0,0,0,0,1,2,0,0,6,9,0,2,1,0,0,0,1,1,3,6,2,1,1,0,23,0,0,0,1,1,0,1,0,4,0,0,3,1,2,18,1,1,2,1,1,0,2,24,0,0,0,3,1
Silverknowes and Davidson's Mains,0,0,0,0,0,0,1,2,0,2,2,3,2,0,1,2,2,0,0,0,0,0,2,0,1,1,1,0,9,1,2,1,0,1,1,2,8,0,0,0,1,0,0,0,0,0,1,0,1,0,4,1,0,2,0,1,1,1,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,2,1,1,3,3,1,0,1,0,10,0,0,0,0,1,0,1,0,3,0,0,0,7,1,11,0,1,1,1,1,0,2,8,1,1,1,4,0
Slateford and Chesser,0,1,1,2,0,0,1,1,1,1,1,7,1,1,1,3,2,0,0,0,1,0,1,0,2,0,1,0,5,4,4,0,0,8,2,4,11,0,0,0,0,0,0,0,0,3,3,1,0,0,2,2,0,2,0,1,1,0,0,0,0,0,2,1,0,0,4,4,0,2,0,0,0,0,1,1,2,2,2,0,1,0,20,0,0,0,0,1,0,0,0,5,1,0,2,0,7,20,0,3,2,1,2,0,2,16,0,0,0,2,1
South Gyle,0,0,0,1,0,0,1,0,0,1,2,9,1,1,1,2,1,0,1,0,1,0,2,0,6,0,2,0,5,2,3,0,0,3,3,2,13,0,0,0,2,0,0,0,0,2,1,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0,2,1,1,0,1,4,0,1,1,0,0,0,2,3,2,4,2,0,0,0,12,0,0,0,0,1,0,1,0,10,0,0,0,0,2,46,0,1,2,1,1,0,1,13,0,0,1,2,1
South Leith,1,0,0,0,0,0,2,1,0,3,1,4,2,1,1,4,2,0,0,0,0,0,1,0,2,0,0,0,6,2,7,0,0,3,1,2,15,1,1,0,0,2,0,1,0,0,1,1,1,0,5,5,0,5,0,1,1,1,2,1,0,1,0,1,1,1,5,3,0,1,1,0,0,1,1,1,4,6,2,1,2,0,35,0,0,1,0,1,1,1,0,6,0,1,0,1,0,8,7,1,2,2,2,1,6,14,1,1,0,8,1
Stenhouse and Saughton Mains,0,0,1,2,0,0,1,0,1,1,1,7,1,1,1,2,1,0,1,0,1,1,2,0,4,0,2,0,5,2,4,0,1,5,2,4,12,0,0,1,0,1,0,0,0,4,4,1,1,0,2,1,0,1,0,1,2,1,0,0,1,0,3,1,0,0,1,3,0,1,0,0,0,0,1,2,2,4,2,0,0,1,16,0,0,0,0,1,1,0,0,6,0,0,0,0,7,26,1,4,1,1,1,0,1,9,0,0,0,2,1
Stockbridge,1,0,0,1,0,0,4,1,0,1,2,3,2,0,1,5,5,0,0,0,1,0,4,0,2,0,0,0,12,1,6,0,0,3,2,3,27,0,0,0,0,1,0,1,0,1,0,0,1,0,2,2,0,4,0,2,1,0,0,0,1,1,0,1,0,1,10,3,0,1,0,0,0,1,1,2,3,14,1,0,1,0,35,0,0,1,1,1,1,1,0,7,0,0,0,1,1,11,2,1,7,0,2,0,4,34,0,1,0,5,1
The Calders,1,1,0,1,0,0,0,0,1,1,0,8,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,3,2,2,0,1,4,3,2,6,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,2,0,0,0,0,3,1,1,1,1,0,0,0,8,0,1,0,0,1,0,0,0,3,0,0,0,0,4,23,1,2,0,8,0,0,1,5,1,0,1,1,0
The Grange,0,0,0,0,0,1,11,0,0,0,1,3,1,0,1,4,2,0,0,0,1,0,2,0,1,0,0,0,5,2,7,0,0,2,1,0,11,0,1,0,0,1,0,1,0,0,0,1,1,0,2,2,1,2,0,0,1,1,0,0,0,0,0,5,1,1,13,4,0,2,1,0,0,1,0,1,1,3,1,0,0,0,27,0,0,0,0,0,1,1,0,2,0,0,0,0,1,7,0,1,1,0,6,0,2,15,0,1,0,2,0
The Inch,1,0,0,0,0,0,12,0,0,0,1,3,2,0,1,3,1,0,0,0,1,0,1,0,1,0,0,1,2,1,11,0,0,2,1,1,3,0,0,1,0,1,1,3,0,1,1,2,0,0,2,1,0,2,0,0,2,0,0,0,5,3,1,2,1,1,7,1,1,3,0,1,1,0,0,0,2,2,2,1,1,0,16,0,0,0,0,1,2,0,0,2,0,0,1,0,0,8,1,1,1,0,2,3,1,6,0,0,0,2,1
